wall_id,normal_x,normal_y,support_h_u,normal_angle_degrees,line_fit_rms_u,pass_angle_rms_degrees,pass_maximum_pairwise_angle_degrees,pass_support_mean_u,pass_support_rms_u,pass_maximum_pairwise_support_u,pass_maximum_line_fit_rms_u
wall_north_west,-0.539268634545,0.842133801599,8.472543874099,122.633865499491,0.006139457692,0.127815381244,0.302727443903,8.472520618310,0.005766994485,0.014072807443,0.006686705237
wall_north,0.005139166575,0.999986794396,8.496731930657,89.705546148892,0.005630291604,0.048951462051,0.109395736777,8.496641658283,0.003504780308,0.008573411352,0.007917455990
wall_north_east,0.522735641609,0.852494838103,8.508045853280,58.484067530998,0.009448967522,0.205522924327,0.496676475140,8.508057297276,0.009169510069,0.021986960092,0.009182347775
wall_east_north,0.854655927497,0.519194805053,8.493286890541,31.278256097650,0.008191922770,0.195656635996,0.458244307202,8.493299805790,0.006132190829,0.014803958525,0.007651316739
wall_east,0.999993281281,-0.003665704943,8.558789748733,359.789970107468,0.011412603445,0.110571058521,0.270350017152,8.558749327034,0.007422598328,0.018179215164,0.015947977343
wall_east_south,0.852544173196,-0.522655175761,8.533674456466,328.489475446545,0.007554522604,0.203990404366,0.499049909666,8.533503790734,0.012819689705,0.029824868530,0.006168989075
wall_south_east,0.522588223805,-0.852585214709,8.541941890999,301.506025112534,0.006742039572,0.060553499125,0.143578794024,8.541941410090,0.013854372206,0.029708282070,0.007235857024
wall_south,-0.001961316625,-0.999998076617,8.572467862348,269.887624763046,0.008274980694,0.113947110721,0.246372487230,8.572400551282,0.006546019866,0.015591521830,0.004942724955
wall_south_west,-0.530171467234,-0.847890450077,8.502020244385,237.982959090767,0.010808974334,0.158682987177,0.372404622607,8.501968523618,0.003179398376,0.007759046449,0.011338432547
wall_west_south,-0.856280756691,-0.516510663704,8.481762031041,211.098483408049,0.013687929924,0.114530487889,0.265819615568,8.481761636838,0.007255525054,0.016765164931,0.009514527380
wall_west,-0.999990316484,-0.004400788262,8.500374512636,180.252147407822,0.019769251464,0.318314659924,0.745335582494,8.500292601107,0.011907452448,0.029160729801,0.010996552142
wall_west_north,-0.846622550236,0.532193815665,8.489260340942,147.846197702954,0.009700835613,0.199088824112,0.458844241200,8.489119726109,0.004082708982,0.009974882525,0.002565031882
