moon_id,centre_x_u,centre_y_u,radius_u,radial_fit_rms_u,centre_radius_from_origin_u,centre_angle_degrees,pass_centre_x_mean_u,pass_centre_y_mean_u,pass_centre_rms_u,pass_centre_maximum_pairwise_u,pass_radius_mean_u,pass_radius_std_u,pass_maximum_radial_fit_rms_u
moon_north_west,-3.030858748884,6.311129233527,1.510699832663,0.006871726733,7.001175398315,115.652195899649,-3.031100772977,6.311100423123,0.009190860665,0.020666809850,1.510586637672,0.001183730035,0.007561881073
moon_north,0.013650006965,7.008869479761,1.531421994960,0.008466346882,7.008882771670,89.888414700414,0.013580145195,7.009294908302,0.010236810653,0.021349267537,1.532185062887,0.003941699311,0.008798933556
moon_north_east,3.052062429064,6.314972483463,1.520349157701,0.007320719872,7.013840783608,64.205255255736,3.051457340902,6.314973880009,0.010512532611,0.022210280485,1.519906319430,0.002686569632,0.006084254826
moon_east_north,6.323644841986,3.047419768994,1.513431494215,0.009872828392,7.019633276463,25.729823887954,6.324253474781,3.048232751540,0.007935591163,0.018986153069,1.513895024997,0.003144391866,0.008702211265
moon_east,7.028652877976,-0.011498885412,1.542953366471,0.011642643855,7.028662284065,359.906264112506,7.029024746713,-0.012100754817,0.010773082975,0.023577496636,1.543369538513,0.006959269407,0.013471814131
moon_east_south,6.304307755917,-3.082560182445,1.509734530671,0.012694070684,7.017583170843,333.943173386015,6.304443068356,-3.083788495856,0.018104117361,0.040182279729,1.509920281701,0.003616595145,0.014714181370
moon_south_east,3.075152174144,-6.316414626344,1.514862854455,0.006619575136,7.025215628437,295.959176821936,3.075072333416,-6.316520183908,0.012451070480,0.029426227725,1.514792664350,0.001146152269,0.007343119505
moon_south,-0.002572632571,-7.024682338945,1.538168461109,0.005333333931,7.024682810030,269.979016704975,-0.002424470422,-7.025845524554,0.012495973662,0.028401313691,1.538357146158,0.001711772781,0.006331076897
moon_south_west,-3.047394181154,-6.340759638386,1.514506294778,0.008050904940,7.035044000369,244.330876400717,-3.046787805323,-6.340906316610,0.007739952757,0.017683726192,1.514798819686,0.001846578922,0.010242255108
moon_west_south,-6.306437514306,-3.050703142444,1.512437061479,0.008517555778,7.005565200979,205.815110574667,-6.307128521718,-3.050257121865,0.010017038683,0.021771072910,1.512070231869,0.005971805045,0.008119242700
moon_west,-7.005011863600,0.004211418939,1.528467339786,0.010611446947,7.005013129554,179.965553734014,-7.005086618024,0.003786630265,0.006334340759,0.011711530853,1.528547719223,0.003067706022,0.013058141665
moon_west_north,-6.281968668261,3.094651463101,1.505784011815,0.008973419587,7.002856419139,153.774014751172,-6.282250705033,3.094549218421,0.006944190403,0.014122561869,1.506000518167,0.001896280732,0.009207617491
