pass_id,wall_id,normal_x,normal_y,support_h_u,normal_angle_degrees,line_fit_rms_u
pass-01,wall_north_west,-0.541877886515,0.840457230385,8.465838408868,122.811566441531,0.006686705237
pass-01,wall_north,0.005778689114,0.999983303237,8.492226653529,89.668903659930,0.001872561163
pass-01,wall_north_east,0.518455849781,0.855104398204,8.505408204641,58.771270160607,0.009182347775
pass-01,wall_east_north,0.853888161405,0.520456537871,8.486631845040,31.362880138267,0.001545864369
pass-01,wall_east,0.999983208147,-0.005795120711,8.558580082012,359.667962182970,0.015947977343
pass-01,wall_east_south,0.854628095470,-0.519240617088,8.521427784416,328.718672632516,0.005603503654
pass-01,wall_south_east,0.522882593971,-0.852404711931,8.531822595089,301.525809590674,0.001261104084
pass-01,wall_south,-0.003396231745,-0.999994232788,8.574561315311,269.805409880675,0.002183983369
pass-01,wall_south_west,-0.529196606961,-0.848499234638,8.501581809940,238.048811145413,0.009887850002
pass-01,wall_west_south,-0.857419498556,-0.514618114233,8.488441645084,210.971932626682,0.009514527380
pass-01,wall_west,-0.999928518168,-0.011956527722,8.515050067746,180.685074899631,0.008048383699
pass-01,wall_west_north,-0.844030392872,0.536295343918,8.484339004147,147.568198840584,0.001846017771
pass-02,wall_north_west,-0.537429711623,0.843308546776,8.471812229752,122.508838997628,0.001245114378
pass-02,wall_north,0.003869395825,0.999992513860,8.496898256437,89.778299396713,0.007917455990
pass-02,wall_north_east,0.523215989859,0.852200110277,8.498388363548,58.451777968906,0.001831948145
pass-02,wall_east_north,0.852909564075,0.522058689717,8.491831768765,31.470445915519,0.002321399499
pass-02,wall_east,0.999999420407,-0.001076655008,8.549744341963,359.938312200123,0.003399624697
pass-02,wall_east_south,0.852555717858,-0.522636343883,8.527830934840,328.490741046453,0.004041396306
pass-02,wall_south_east,0.523470926024,-0.852043537390,8.532470758022,301.565363671879,0.006940173235
pass-02,wall_south,0.000903772691,-0.999999591597,8.563524408352,270.051782367906,0.003502359753
pass-02,wall_south_west,-0.533375580564,-0.845878531503,8.498282357232,237.766185783536,0.011338432547
pass-02,wall_west_south,-0.855022746030,-0.518590497186,8.485166785279,211.237752242250,0.009167889468
pass-02,wall_west,-0.999999446914,0.001051747132,8.485889337945,179.939739317137,0.002741946544
pass-02,wall_west_north,-0.848298118712,0.529518934308,8.494313886672,148.027043081785,0.000794880767
pass-03,wall_north_west,-0.538639134189,0.842536576725,8.479911216311,122.591046782690,0.006307690257
pass-03,wall_north,0.005566063365,0.999984509349,8.500800064881,89.681086413982,0.001581776792
pass-03,wall_north_east,0.525848869328,0.850578019129,8.520375323639,58.274593685468,0.000185805487
pass-03,wall_east_north,0.857057599665,0.515220604069,8.501435803565,31.012201608317,0.007651316739
pass-03,wall_east,0.999993218830,-0.003682702071,8.567923557126,359.788996237169,0.006066833317
pass-03,wall_east_south,0.850073115552,-0.526664692395,8.551252652946,328.219622722849,0.006168989075
pass-03,wall_south_east,0.521334129418,-0.853352638423,8.561530877159,301.421784877850,0.007235857024
pass-03,wall_south,-0.003228785663,-0.999994787458,8.579115930182,269.815003887140,0.004942724955
pass-03,wall_south_west,-0.527866407304,-0.849327413923,8.506041403681,238.138590406145,0.008860408151
pass-03,wall_west_south,-0.856922940610,-0.515444540039,8.471676480152,211.027173290417,0.003288411875
pass-03,wall_west,-0.999998016197,-0.001991883866,8.499938397629,180.114126614268,0.010996552142
pass-03,wall_west_north,-0.847498813068,0.530797288848,8.488706287510,147.940659736423,0.002565031882
