hypothesis,wall_id,moon_id,observed_angle_degrees,predicted_angle_degrees,angle_residual_degrees,observed_support_h_u,predicted_support_h_u,support_residual_u
REGULAR_DIRECTION_TANGENT,wall_north_west,moon_north_west,122.633865499491,120.000000000000,2.633865499491,8.472543874099,8.491727449906,-0.019183575807
REGULAR_DIRECTION_TANGENT,wall_north,moon_north,89.705546148892,90.000000000000,-0.294453851108,8.496731930657,8.540291474721,-0.043559544064
REGULAR_DIRECTION_TANGENT,wall_north_east,moon_north_east,58.484067530998,60.000000000000,-1.515932469002,8.508045853280,8.515306967112,-0.007261113832
REGULAR_DIRECTION_TANGENT,wall_east_north,moon_east_north,31.278256097650,30.000000000000,1.278256097650,8.493286890541,8.513578456382,-0.020291565842
REGULAR_DIRECTION_TANGENT,wall_east,moon_east,359.789970107468,0.000000000000,-0.210029892532,8.558789748733,8.571606244447,-0.012816495714
REGULAR_DIRECTION_TANGENT,wall_east_south,moon_east_south,328.489475446545,330.000000000000,-1.510524553455,8.533674456466,8.510705291792,0.022969164674
REGULAR_DIRECTION_TANGENT,wall_south_east,moon_south_east,301.506025112534,300.000000000000,1.506025112534,8.541941890999,8.522614468776,0.019327422223
REGULAR_DIRECTION_TANGENT,wall_south,moon_south,269.887624763046,270.000000000000,-0.112375236954,8.572467862348,8.562850800054,0.009617062294
REGULAR_DIRECTION_TANGENT,wall_south_west,moon_south_west,237.982959090767,240.000000000000,-2.017040909233,8.502020244385,8.529462311488,-0.027442067104
REGULAR_DIRECTION_TANGENT,wall_west_south,moon_west_south,211.098483408049,210.000000000000,1.098483408049,8.481762031041,8.499323727470,-0.017561696429
REGULAR_DIRECTION_TANGENT,wall_west,moon_west,180.252147407822,180.000000000000,0.252147407822,8.500374512636,8.533479203387,-0.033104690750
REGULAR_DIRECTION_TANGENT,wall_west_north,moon_west_north,147.846197702954,150.000000000000,-2.153802297046,8.489260340942,8.493454195857,-0.004193854915
RADIAL_SUPPORT,wall_north_west,moon_north_west,122.633865499491,115.652195899649,6.981669599842,8.472543874099,8.511875230978,-0.039331356878
RADIAL_SUPPORT,wall_north,moon_north,89.705546148892,89.888414700414,-0.182868551523,8.496731930657,8.540304766631,-0.043572835973
RADIAL_SUPPORT,wall_north_east,moon_north_east,58.484067530998,64.205255255736,-5.721187724737,8.508045853280,8.534189941309,-0.026144088029
RADIAL_SUPPORT,wall_east_north,moon_east_north,31.278256097650,25.729823887954,5.548432209696,8.493286890541,8.533064770678,-0.039777880138
RADIAL_SUPPORT,wall_east,moon_east,359.789970107468,359.906264112506,-0.116294005038,8.558789748733,8.571615650537,-0.012825901803
RADIAL_SUPPORT,wall_east_south,moon_east_south,328.489475446545,333.943173386015,-5.453697939470,8.533674456466,8.527317701514,0.006356754952
RADIAL_SUPPORT,wall_south_east,moon_south_east,301.506025112534,295.959176821936,5.546848290598,8.541941890999,8.540078482892,0.001863408107
RADIAL_SUPPORT,wall_south,moon_south,269.887624763046,269.979016704975,-0.091391941929,8.572467862348,8.562851271138,0.009616591209
RADIAL_SUPPORT,wall_south_west,moon_south_west,237.982959090767,244.330876400717,-6.347917309950,8.502020244385,8.549550295146,-0.047530050762
RADIAL_SUPPORT,wall_west_south,moon_west_south,211.098483408049,205.815110574667,5.283372833382,8.481762031041,8.518002262458,-0.036240231418
RADIAL_SUPPORT,wall_west,moon_west,180.252147407822,179.965553734014,0.286593673808,8.500374512636,8.533480469341,-0.033105956705
RADIAL_SUPPORT,wall_west_north,moon_west_north,147.846197702954,153.774014751172,-5.927817048218,8.489260340942,8.508640430954,-0.019380090012
