candidate,moon_id,observed_x_u,observed_y_u,candidate_x_u,candidate_y_u,distance_u
NJG_MICHELL_28,moon_north_west,-3.030858748884,6.311129233527,-3.023266527150,6.313466520527,0.007943849280
NJG_MICHELL_28,moon_north,0.013650006965,7.008869479761,0.000000000000,7.000000000000,0.016278524546
NJG_MICHELL_28,moon_north_east,3.052062429064,6.314972483463,3.023266527150,6.313466520527,0.028835254315
NJG_MICHELL_28,moon_east_north,6.323644841986,3.047419768994,6.313466520527,3.023266527150,0.026210252179
NJG_MICHELL_28,moon_east,7.028652877976,-0.011498885412,7.000000000000,0.000000000000,0.030874128036
NJG_MICHELL_28,moon_east_south,6.304307755917,-3.082560182445,6.313466520527,-3.023266527150,0.059996837645
NJG_MICHELL_28,moon_south_east,3.075152174144,-6.316414626344,3.023266527150,-6.313466520527,0.051969334148
NJG_MICHELL_28,moon_south,-0.002572632571,-7.024682338945,-0.000000000000,-7.000000000000,0.024816049125
NJG_MICHELL_28,moon_south_west,-3.047394181154,-6.340759638386,-3.023266527150,-6.313466520527,0.036428806874
NJG_MICHELL_28,moon_west_south,-6.306437514306,-3.050703142444,-6.313466520527,-3.023266527150,0.028322690325
NJG_MICHELL_28,moon_west,-7.005011863600,0.004211418939,-7.000000000000,0.000000000000,0.006546359769
NJG_MICHELL_28,moon_west_north,-6.281968668261,3.094651463101,-6.313466520527,3.023266527150,0.078025148369
NJG_28,moon_north_west,-3.030858748884,6.311129233527,-3.037186173823,6.306782075317,0.007676854229
NJG_28,moon_north,0.013650006965,7.008869479761,0.000000000000,7.000000000000,0.016278524546
NJG_28,moon_north_east,3.052062429064,6.314972483463,3.037186173823,6.306782075317,0.016981924379
NJG_28,moon_east_north,6.323644841986,3.047419768994,6.306782075317,3.037186173823,0.019725094927
NJG_28,moon_east,7.028652877976,-0.011498885412,7.000000000000,0.000000000000,0.030874128036
NJG_28,moon_east_south,6.304307755917,-3.082560182445,6.306782075317,-3.037186173823,0.045441422897
NJG_28,moon_south_east,3.075152174144,-6.316414626344,3.037186173823,-6.306782075317,0.039168906286
NJG_28,moon_south,-0.002572632571,-7.024682338945,-0.000000000000,-7.000000000000,0.024816049125
NJG_28,moon_south_west,-3.047394181154,-6.340759638386,-3.037186173823,-6.306782075317,0.035477855147
NJG_28,moon_west_south,-6.306437514306,-3.050703142444,-6.306782075317,-3.037186173823,0.013521359510
NJG_28,moon_west,-7.005011863600,0.004211418939,-7.000000000000,0.000000000000,0.006546359769
NJG_28,moon_west_north,-6.281968668261,3.094651463101,-6.306782075317,3.037186173823,0.062593646974
NJG_SVG,moon_north_west,-3.030858748884,6.311129233527,-3.050971172260,6.300124991303,0.022926031513
NJG_SVG,moon_north,0.013650006965,7.008869479761,0.000000000000,7.000000000000,0.016278524546
NJG_SVG,moon_north_east,3.052062429064,6.314972483463,3.050971172260,6.300124991303,0.014887540591
NJG_SVG,moon_east_north,6.323644841986,3.047419768994,6.300124991303,3.050971172260,0.023786463405
NJG_SVG,moon_east,7.028652877976,-0.011498885412,7.000000000000,0.000000000000,0.030874128036
NJG_SVG,moon_east_south,6.304307755917,-3.082560182445,6.300124991303,-3.050971172260,0.031864731041
NJG_SVG,moon_south_east,3.075152174144,-6.316414626344,3.050971172260,-6.300124991303,0.029156012448
NJG_SVG,moon_south,-0.002572632571,-7.024682338945,-0.000000000000,-7.000000000000,0.024816049125
NJG_SVG,moon_south_west,-3.047394181154,-6.340759638386,-3.050971172260,-6.300124991303,0.040791781145
NJG_SVG,moon_west_south,-6.306437514306,-3.050703142444,-6.300124991303,-3.050971172260,0.006318210716
NJG_SVG,moon_west,-7.005011863600,0.004211418939,-7.000000000000,0.000000000000,0.006546359769
NJG_SVG,moon_west_north,-6.281968668261,3.094651463101,-6.300124991303,3.050971172260,0.047303486916
NJG_INC,moon_north_west,-3.030858748884,6.311129233527,-3.058923694678,6.296267611064,0.031757030790
NJG_INC,moon_north,0.013650006965,7.008869479761,0.000000000000,7.000000000000,0.016278524546
NJG_INC,moon_north_east,3.052062429064,6.314972483463,3.058923694678,6.296267611064,0.019923584449
NJG_INC,moon_east_north,6.323644841986,3.047419768994,6.296267611064,3.058923694678,0.029696011164
NJG_INC,moon_east,7.028652877976,-0.011498885412,7.000000000000,0.000000000000,0.030874128036
NJG_INC,moon_east_south,6.304307755917,-3.082560182445,6.296267611064,-3.058923694678,0.024966527256
NJG_INC,moon_south_east,3.075152174144,-6.316414626344,3.058923694678,-6.296267611064,0.025870171442
NJG_INC,moon_south,-0.002572632571,-7.024682338945,-0.000000000000,-7.000000000000,0.024816049125
NJG_INC,moon_south_west,-3.047394181154,-6.340759638386,-3.058923694678,-6.296267611064,0.045961616348
NJG_INC,moon_west_south,-6.306437514306,-3.050703142444,-6.296267611064,-3.058923694678,0.013076865487
NJG_INC,moon_west,-7.005011863600,0.004211418939,-7.000000000000,0.000000000000,0.006546359769
NJG_INC,moon_west_north,-6.281968668261,3.094651463101,-6.296267611064,3.058923694678,0.038482894925
