sequence_index,observation_id,category,object_id,sample_index,description,model_x,model_y,registration_default
58,moon_south_arc_05,moon_circumference,moon_south,5,Visible circumference sample 5/6 for south Moon.,,,false
59,moon_south_arc_06,moon_circumference,moon_south,6,Visible circumference sample 6/6 for south Moon.,,,false
60,moon_south_west_arc_01,moon_circumference,moon_south_west,1,Visible circumference sample 1/6 for south west Moon.,,,false
61,moon_south_west_arc_02,moon_circumference,moon_south_west,2,Visible circumference sample 2/6 for south west Moon.,,,false
62,moon_south_west_arc_03,moon_circumference,moon_south_west,3,Visible circumference sample 3/6 for south west Moon.,,,false
63,moon_south_west_arc_04,moon_circumference,moon_south_west,4,Visible circumference sample 4/6 for south west Moon.,,,false
64,moon_south_west_arc_05,moon_circumference,moon_south_west,5,Visible circumference sample 5/6 for south west Moon.,,,false
65,moon_south_west_arc_06,moon_circumference,moon_south_west,6,Visible circumference sample 6/6 for south west Moon.,,,false
66,moon_west_south_arc_01,moon_circumference,moon_west_south,1,Visible circumference sample 1/6 for west south Moon.,,,false
67,moon_west_south_arc_02,moon_circumference,moon_west_south,2,Visible circumference sample 2/6 for west south Moon.,,,false
68,moon_west_south_arc_03,moon_circumference,moon_west_south,3,Visible circumference sample 3/6 for west south Moon.,,,false
69,moon_west_south_arc_04,moon_circumference,moon_west_south,4,Visible circumference sample 4/6 for west south Moon.,,,false
70,moon_west_south_arc_05,moon_circumference,moon_west_south,5,Visible circumference sample 5/6 for west south Moon.,,,false
71,moon_west_south_arc_06,moon_circumference,moon_west_south,6,Visible circumference sample 6/6 for west south Moon.,,,false
72,moon_west_arc_01,moon_circumference,moon_west,1,Visible circumference sample 1/6 for west Moon.,,,false
73,moon_west_arc_02,moon_circumference,moon_west,2,Visible circumference sample 2/6 for west Moon.,,,false
74,moon_west_arc_03,moon_circumference,moon_west,3,Visible circumference sample 3/6 for west Moon.,,,false
75,moon_west_arc_04,moon_circumference,moon_west,4,Visible circumference sample 4/6 for west Moon.,,,false
76,moon_west_arc_05,moon_circumference,moon_west,5,Visible circumference sample 5/6 for west Moon.,,,false
77,moon_west_arc_06,moon_circumference,moon_west,6,Visible circumference sample 6/6 for west Moon.,,,false
78,moon_west_north_arc_01,moon_circumference,moon_west_north,1,Visible circumference sample 1/6 for west north Moon.,,,false
79,moon_west_north_arc_02,moon_circumference,moon_west_north,2,Visible circumference sample 2/6 for west north Moon.,,,false
80,moon_west_north_arc_03,moon_circumference,moon_west_north,3,Visible circumference sample 3/6 for west north Moon.,,,false
81,moon_west_north_arc_04,moon_circumference,moon_west_north,4,Visible circumference sample 4/6 for west north Moon.,,,false
82,moon_west_north_arc_05,moon_circumference,moon_west_north,5,Visible circumference sample 5/6 for west north Moon.,,,false
83,moon_west_north_arc_06,moon_circumference,moon_west_north,6,Visible circumference sample 6/6 for west north Moon.,,,false
84,wall_north_west_line_01,wall_line,wall_north_west,1,Printed wall-line sample 1/3 for north west side.,,,false
85,wall_north_west_line_02,wall_line,wall_north_west,2,Printed wall-line sample 2/3 for north west side.,,,false
86,wall_north_west_line_03,wall_line,wall_north_west,3,Printed wall-line sample 3/3 for north west side.,,,false
87,wall_north_line_01,wall_line,wall_north,1,Printed wall-line sample 1/3 for north side.,,,false
88,wall_north_line_02,wall_line,wall_north,2,Printed wall-line sample 2/3 for north side.,,,false
89,wall_north_line_03,wall_line,wall_north,3,Printed wall-line sample 3/3 for north side.,,,false
90,wall_north_east_line_01,wall_line,wall_north_east,1,Printed wall-line sample 1/3 for north east side.,,,false
91,wall_north_east_line_02,wall_line,wall_north_east,2,Printed wall-line sample 2/3 for north east side.,,,false
92,wall_north_east_line_03,wall_line,wall_north_east,3,Printed wall-line sample 3/3 for north east side.,,,false
93,wall_east_north_line_01,wall_line,wall_east_north,1,Printed wall-line sample 1/3 for east north side.,,,false
94,wall_east_north_line_02,wall_line,wall_east_north,2,Printed wall-line sample 2/3 for east north side.,,,false
95,wall_east_north_line_03,wall_line,wall_east_north,3,Printed wall-line sample 3/3 for east north side.,,,false
96,wall_east_line_01,wall_line,wall_east,1,Printed wall-line sample 1/3 for east side.,,,false
97,wall_east_line_02,wall_line,wall_east,2,Printed wall-line sample 2/3 for east side.,,,false
98,wall_east_line_03,wall_line,wall_east,3,Printed wall-line sample 3/3 for east side.,,,false
99,wall_east_south_line_01,wall_line,wall_east_south,1,Printed wall-line sample 1/3 for east south side.,,,false
100,wall_east_south_line_02,wall_line,wall_east_south,2,Printed wall-line sample 2/3 for east south side.,,,false
101,wall_east_south_line_03,wall_line,wall_east_south,3,Printed wall-line sample 3/3 for east south side.,,,false
102,wall_south_east_line_01,wall_line,wall_south_east,1,Printed wall-line sample 1/3 for south east side.,,,false
103,wall_south_east_line_02,wall_line,wall_south_east,2,Printed wall-line sample 2/3 for south east side.,,,false
104,wall_south_east_line_03,wall_line,wall_south_east,3,Printed wall-line sample 3/3 for south east side.,,,false
105,wall_south_line_01,wall_line,wall_south,1,Printed wall-line sample 1/3 for south side.,,,false
106,wall_south_line_02,wall_line,wall_south,2,Printed wall-line sample 2/3 for south side.,,,false
107,wall_south_line_03,wall_line,wall_south,3,Printed wall-line sample 3/3 for south side.,,,false
108,wall_south_west_line_01,wall_line,wall_south_west,1,Printed wall-line sample 1/3 for south west side.,,,false
109,wall_south_west_line_02,wall_line,wall_south_west,2,Printed wall-line sample 2/3 for south west side.,,,false
110,wall_south_west_line_03,wall_line,wall_south_west,3,Printed wall-line sample 3/3 for south west side.,,,false
111,wall_west_south_line_01,wall_line,wall_west_south,1,Printed wall-line sample 1/3 for west south side.,,,false
112,wall_west_south_line_02,wall_line,wall_west_south,2,Printed wall-line sample 2/3 for west south side.,,,false
113,wall_west_south_line_03,wall_line,wall_west_south,3,Printed wall-line sample 3/3 for west south side.,,,false
114,wall_west_line_01,wall_line,wall_west,1,Printed wall-line sample 1/3 for west side.,,,false
115,wall_west_line_02,wall_line,wall_west,2,Printed wall-line sample 2/3 for west side.,,,false
116,wall_west_line_03,wall_line,wall_west,3,Printed wall-line sample 3/3 for west side.,,,false
117,wall_west_north_line_01,wall_line,wall_west_north,1,Printed wall-line sample 1/3 for west north side.,,,false
118,wall_west_north_line_02,wall_line,wall_west_north,2,Printed wall-line sample 2/3 for west north side.,,,false
119,wall_west_north_line_03,wall_line,wall_west_north,3,Printed wall-line sample 3/3 for west north side.,,,false
