pass_id,wall_id,normal_x,normal_y,offset_pixels,centroid_x_pixels,centroid_y_pixels,fit_rms_pixels
pass-01,wall_north_west,0.5357375384511838,0.8443845627995968,-444.02502793646164,443.67063773036426,244.36023784188956,0.48206624420029254
pass-01,wall_north,0.01908766352551752,-0.9998178139546908,139.90543183912644,798.4108850521983,155.17350061452717,0.13553831603692879
pass-01,wall_north_east,0.5347214183287976,-0.845028404718113,-367.6685997139123,1082.9165768074843,250.15737576166816,0.6623204387383475
pass-01,wall_east_north,0.8637243856875839,-0.5039644685576611,-873.6017699579802,1275.96600363647,453.3676418599136,0.11082998919201438
pass-01,wall_east,0.9998166455420723,0.01914876750598237,-1381.7534385567749,1366.5505688655783,807.0197115899946,1.1392569344687258
pass-01,wall_east_south,0.8506770843195808,0.5256885943346469,-1658.076526797791,1268.9343250570416,1100.6956993190677,0.4016640123099936
pass-01,wall_south_east,0.5165505363180448,0.8562567041661866,-1664.2375291056119,1069.4107840560073,1298.48071220636,0.09094156411469191
pass-01,wall_south,0.016674036132981778,-0.9998609785960427,1377.0781074167728,713.5830844118399,1389.1695418501831,0.15807941522885038
pass-01,wall_south_west,0.5453978762506161,-0.8381772823104416,845.6122199531786,423.46280069016467,1284.4155464977114,0.7131028009933407
pass-01,wall_west_south,0.8671229165797596,-0.4980942155277566,336.2857482398764,231.52714833956915,1078.2061458120886,0.6820850890138523
pass-01,wall_west,0.9999986718924048,0.0016297893811105062,-148.74446205124144,147.56063353815816,726.4892649347498,0.5749457361612688
pass-01,wall_west_north,0.8400165365039247,0.542560796961917,-443.8666390363003,245.6643676683781,437.74727015846906,0.13235505912766318
pass-02,wall_north_west,0.5322979344821354,0.8465570913683569,-443.1990442629319,445.2822577188587,243.54673809935574,0.08969288491502427
pass-02,wall_north,0.015310920233238295,-0.9998827809906576,142.80810757020544,804.5665953804202,155.14494847156746,0.5728259820448186
pass-02,wall_north_east,0.5380052501383322,-0.8429414871885181,-371.30068213327337,1097.144078024683,259.7672499576655,0.13216387375464522
pass-02,wall_east_north,0.8622007363094597,-0.506566767867204,-871.0766628269349,1276.0340978424226,452.30143472191395,0.16651566993916492
pass-02,wall_east,0.9999033718744661,0.013901327780947837,-1377.1712502720893,1366.0586535284403,808.8865040733607,0.24287050979413366
pass-02,wall_east_south,0.8489641005871944,0.528450523619928,-1659.0311095105512,1269.4469352312506,1100.0390914871653,0.289523522349081
pass-02,wall_south_east,0.5182279403747451,0.8552425397598915,-1664.2867250011554,1073.5979318618756,1295.443372464654,0.5000405669006712
pass-02,wall_south,0.010477434317731812,-0.9999451101786127,1380.8221187384786,712.3447057030435,1388.3618705391611,0.25339313665290036
pass-02,wall_south_west,0.5481220297649496,-0.8363983742729011,842.1474070343337,426.4249347588234,1286.3252020928564,0.8178932128194393
pass-02,wall_west_south,0.8642418016640879,-0.5030766425271714,342.4392672639822,235.6665253532748,1085.544594127556,0.6575877301746583
pass-02,wall_west,0.999903713502304,0.01387673319993765,-160.1202764938613,150.04549794493937,727.0605955340708,0.19588573370637052
pass-02,wall_west_north,0.8446897187692548,0.5352562741393299,-441.52609599517234,247.7745494312213,433.8734410752254,0.056949725008347274
pass-03,wall_north_west,0.5332403881147852,0.8459637631028845,-443.6319776222607,436.56112479568304,249.23047912483875,0.45347382137411246
pass-03,wall_north,0.01726588587222967,-0.9998509334821102,141.4916814007554,801.5852287916722,155.3549186947044,0.11428500635278344
pass-03,wall_north_east,0.5412434245489702,-0.8408659556567284,-376.4452670164455,1087.7025405354527,252.43807230582283,0.013390341545596828
pass-03,wall_east_north,0.866804535355366,-0.49864806977202675,-880.4681695009269,1277.060567132988,454.2155795709621,0.5480888515093008
pass-03,wall_east,0.9998427353369839,0.01773427737061984,-1379.9760921171462,1365.5017864849444,828.2858389728596,0.4326181793156875
pass-03,wall_east_south,0.8460585548414041,0.5330899753134314,-1660.3642413204764,1272.5482600231942,1094.963189161667,0.44100836465966564
pass-03,wall_south_east,0.5158064827053636,0.8567051256991063,-1664.0283778307535,1075.6085451484926,1294.7541506591378,0.5203388338342545
pass-03,wall_south,0.014897995454098855,-0.9998890187073013,1377.3479890461974,713.4028202828681,1388.1303175167852,0.35711498710821515
pass-03,wall_south_west,0.5432541685851328,-0.8395682868682428,848.0557108184378,424.7468158873087,1284.947521263129,0.6385218945590836
pass-03,wall_west_south,0.8666745916435826,-0.49887388406232425,335.6451913991508,239.4756914640969,1088.837691971666,0.2355604828010768
pass-03,wall_west,0.999926376531128,0.012134311572105835,-158.63790542066224,149.80970303948212,728.4493923419644,0.784160933008993
pass-03,wall_west_north,0.8434739095672493,0.5371701442553743,-443.3656010539073,245.9419887062567,439.1903623760198,0.18337831614567285
