moon_id,centre_x_mean_pixels,centre_y_mean_pixels,centre_rms_pixels,maximum_pairwise_centre_pixels,radius_mean_pixels,radius_std_pixels,maximum_radial_fit_rms_pixels
moon_north_west,545.6529779120406,310.0547659343969,0.2890155833729524,0.6696672210942832,108.6337957634181,0.006474938314400256,0.9292168819050818
moon_north,763.5052678247017,262.2358755569976,0.4396427651427305,0.9645231686117641,110.05230477310424,0.21266022828086747,0.45618511410011015
moon_north_east,979.5481934206036,314.91647690807474,0.6617690158931634,1.5334385458810944,109.16845461507857,0.07556737582026152,0.4667195485928641
moon_east_north,1210.0887135022233,554.0682650437946,0.41260391466927754,0.9545439503493444,108.82992322208729,0.2377396476434209,0.5087756210007635
moon_east,1257.6874425985523,776.0647001371811,0.3678730321951377,0.8593077887092143,110.94731078779454,0.4393531533063393,0.7509263054719999
moon_east_south,1202.8445795940781,997.8064705471257,0.5866996731777839,1.3494421849303755,108.43481334953394,0.2800508424013193,0.7758581239779018
moon_south_east,968.9740650460157,1228.5397895821181,0.2929174913439064,0.6345229556173082,108.77665919666195,0.12744496718652296,0.8644263554600331
moon_south,748.6274307947493,1277.1117586276791,0.38934635785970123,0.8680613224432497,110.51330731477752,0.1647726789085846,0.37147025691075897
moon_south_west,532.3796381636234,1224.9966652049611,0.43083356582713545,1.0297634955378414,108.95985792239344,0.23241562917575218,1.1080435227139835
moon_west_south,302.48479740058264,984.3169560746883,0.4550798684702457,0.9765200647700705,108.66949239809442,0.36724107195288225,0.9553886279975632
moon_west,255.55928829318577,762.6975682911029,0.1830620762086461,0.34824137365017593,109.95568053831964,0.21019929909058627,1.2802226967604837
moon_west_north,310.2904133708627,539.7928935586992,0.5457141117066856,1.1570597324130107,108.30853233515525,0.07989169428381575,1.0225442852105027
