wall_id,angular_rms_degrees,maximum_pairwise_angle_degrees,offset_rms_pixels,maximum_pairwise_offset_pixels,maximum_fit_rms_pixels
wall_north_west,0.09835437234243104,0.2330944043213991,0.13156179603717585,0.3222563821159383,0.48206624420029254
wall_north,0.08837285658694755,0.21642359281833792,0.10434188270018173,0.2554631671813752,0.5728259820448186
wall_north_east,0.18097896228018254,0.44330365532896354,0.4461864987149068,1.0899532239469067,0.6623204387383475
wall_east_north,0.21838165630312384,0.5248159913650425,0.2667340523464368,0.5992171383862797,0.5480888515093008
wall_east,0.12703058380923116,0.3006975544453448,0.2733748185416509,0.6605575481391952,1.1392569344687258
wall_east_south,0.2062657758116147,0.4998600761947783,0.04102408517110237,0.0964412151763554,0.44100836465966564
wall_south_east,0.06779202409167227,0.16208347369765802,0.20734487470169177,0.44372594376068264,0.5203388338342545
wall_south,0.14929276523740356,0.3550724213231494,0.44204377112202614,1.0355663065813587,0.35711498710821515
wall_south_west,0.13620447770228056,0.33283134208367476,0.1156009146923675,0.255083739813017,0.8178932128194393
wall_west_south,0.14484248137530004,0.3297644312094593,0.7679951406894286,1.664401959748318,0.6820850890138523
wall_west,0.3099545162347126,0.7017236708291557,1.1222639181782126,2.482368984438324,0.784160933008993
wall_west_north,0.210387241423602,0.4968411617535171,0.5570219698366589,1.3029130479029618,0.18337831614567285
