pass_id,moon_id,centre_x_pixels,centre_y_pixels,radius_pixels,radial_rms_pixels
pass-01,moon_north_west,545.897491756521,310.3704635018461,108.64101247473518,0.9292168819050818
pass-01,moon_north,763.3583084491714,262.4701250313452,110.03406586936823,0.45618511410011015
pass-01,moon_north_east,979.4206539824203,315.1917928983519,109.24450701902165,0.3299631590155226
pass-01,moon_east_north,1210.410221200461,554.45460015712,108.76980894341452,0.14340177456765021
pass-01,moon_east,1258.0205028929547,776.2911206940171,111.14236612863618,0.1394258777932951
pass-01,moon_east_south,1203.1038126129765,997.6871676353003,108.75430497273446,0.407206784918969
pass-01,moon_south_east,968.5622245829184,1228.4980681207978,108.75792833561931,0.6233328515762175
pass-01,moon_south,748.400380105285,1277.133026851167,110.70694112158982,0.37147025691075897
pass-01,moon_south_west,532.2798341721082,1224.908328723727,108.9612789388626,0.7074945550509923
pass-01,moon_west_south,301.9597754092529,984.431799346155,108.15301257549105,0.4417013894829135
pass-01,moon_west,255.65144096078046,762.5630048665048,109.76244808770994,1.0066155847926481
pass-01,moon_west_north,310.88022662010576,539.4239834650929,108.37132071260768,0.9364489479068308
pass-02,moon_north_west,545.5514075391127,309.9695676644298,108.62530616328839,0.7910421285321976
pass-02,moon_north,763.6913477127999,262.5876830436922,109.80144909956293,0.34636316744858203
pass-02,moon_north_east,979.300853793731,315.4795823668577,109.06540790616191,0.18689742857294017
pass-02,moon_east_north,1209.6726154791324,553.8487190194271,109.14645883394329,0.5087756210007635
pass-02,moon_east,1257.2358993374626,775.940682202345,110.3388899284514,0.7509263054719999
pass-02,moon_east_south,1202.1749906935959,997.461550168206,108.07236939161,0.4187721909220968
pass-02,moon_south_east,969.1663491812899,1228.5603240504688,108.94126700421097,0.8644263554600331
pass-02,moon_south,748.5912208711611,1276.6937402203353,110.52876024354634,0.34748016114869723
pass-02,moon_south_west,532.9266566892335,1224.906750001659,109.24379460378469,0.5206352569048246
pass-02,moon_west_south,302.56092093632674,984.0160627906487,108.88045174228503,0.9553886279975632
pass-02,moon_west,255.34463575224154,762.7212601426036,110.2479278783041,0.5618821748414703
pass-02,moon_west_north,309.78050407305096,539.7837021661232,108.19579173307248,1.0225442852105027
pass-03,moon_north_west,545.510034440488,309.82426663691496,108.63506865223076,0.3863146636919052
pass-03,moon_north,763.4661473121339,261.64981859595537,110.32139935038155,0.3628893476874948
pass-03,moon_north_east,979.92307248566,314.07805545901465,109.19544892005212,0.4667195485928641
pass-03,moon_east_north,1210.1833038270768,553.9014759548365,108.57350188890408,0.33132436007699734
pass-03,moon_east,1257.8059255652395,775.9622975151813,111.36067630629599,0.66760768442897
pass-03,moon_east_south,1203.2549354756616,998.2706938378709,108.47776568425732,0.7758581239779018
pass-03,moon_south_east,969.1936213738385,1228.5609765750874,108.63078225015556,0.6443380189949713
pass-03,moon_south,748.890691407802,1277.5085088115352,110.30422057919638,0.30962395167283824
pass-03,moon_south_west,531.9324236295289,1225.1749168894971,108.67450022453302,1.1080435227139835
pass-03,moon_west_south,302.9336958561682,984.5030060872609,108.97501287650718,0.3138483680974544
pass-03,moon_west,255.68178816653526,762.8084398642003,109.85666564894485,1.2802226967604837
pass-03,moon_west_north,310.21050941943145,540.1709950448818,108.35848455978561,0.41661601875433213
