record_id,frozen_prediction_status,comparison_policy,independent_forward_prediction,source_value,source_unit,secondary_value,secondary_unit,phase6c_prediction_quantity,prediction_original_value,prediction_original_unit,prediction_value_in_source_unit,signed_residual,absolute_residual,relative_residual,percent_residual,absolute_percent_residual,unit_invariance_relative_residual,unit_invariance_absolute_difference,unit_invariance_pass,secondary_expression_checked,secondary_expression_equivalent,duplicate_numeric_evidence_group,independent_numeric_evidence,inferred_source_uncertainty,posthoc_tolerance
WALL12-001,development_used_target,retrospective_residual,false,3264,foot,1200,megalithic_yard,mean_side_current_foot,3273.9798058430392,current_foot,3273.9798058430392,9.9798058430392,9.9798058430392,0.0030575385548526960784313725490196078431372549019608,0.30575385548526960784313725490196078431372549019608,0.30575385548526960784313725490196078431372549019608,0.0030575385548526960784313725490196078431372549019608,0,true,true,true,,false,,
WALL12-002,construction_identity,descriptive_residual,false,14400,megalithic_yard,,,wall_perimeter_megalithic_yard,14444.02855518988,megalithic_yard,14444.02855518988,44.02855518988,44.02855518988,0.0030575385548527777777777777777777777777777777777778,0.30575385548527777777777777777777777777777777777778,0.30575385548527777777777777777777777777777777777778,0.0030575385548527777777777777777777777777777777777778,0,true,false,,,false,,
WALL12-003,development_used_target,retrospective_residual,false,120000000,square_foot,,,wall_area_square_foot,120002599.57274574,square_current_foot,120002599.57274574,2599.57274574,2599.57274574,0.0000216631062145,0.00216631062145,0.00216631062145,0.0000216631062145,0,true,false,,wall_area_120m,false,,
SOMM-001,development_used_target,retrospective_residual,false,3280,foot,4,dimensionless,polar_side_current_foot,3279.698115356945,current_foot,3279.698115356945,-0.301884643055,0.301884643055,-0.000092038000931402439024390243902439024390243902439024,-0.0092038000931402439024390243902439024390243902439024,0.0092038000931402439024390243902439024390243902439024,-0.000092038000931402439024390243902439024390243902439024,0,true,false,,,false,,
SOMM-002,development_used_target,retrospective_residual,false,3270,foot,8,dimensionless,oblique_side_current_foot,3271.1206510860893,current_foot,3271.1206510860893,1.1206510860893,1.1206510860893,0.00034270675415574923547400611620795107033639143730887,0.034270675415574923547400611620795107033639143730887,0.034270675415574923547400611620795107033639143730887,0.00034270675415574923547400611620795107033639143730887,0,true,false,,,false,,
SOMM-003,development_used_target,retrospective_residual,false,120000000,square_foot,,,wall_area_square_foot,120002599.57274574,square_current_foot,120002599.57274574,2599.57274574,2599.57274574,0.0000216631062145,0.00216631062145,0.00216631062145,0.0000216631062145,0,true,false,,wall_area_120m,false,,
SOMM-005,development_used_target,retrospective_residual,false,36000,old_english_foot,,,wall_perimeter_old_english_foot,36013.777864273434,old_english_foot,36013.777864273434,13.777864273434,13.777864273434,0.00038271845203983333333333333333333333333333333333333,0.038271845203983333333333333333333333333333333333333,0.038271845203983333333333333333333333333333333333333,0.00038271845203983333333333333333333333333333333332638,0.00000000000000000000000000000000000000000000000000695,true,false,,,false,,
