pass_id,sequence_index,observation_id,category,object_id,sample_index,description,model_x,model_y,registration_default,pixel_x,pixel_y,source_image,source_image_sha256,image_width_pixels,image_height_pixels
pass-03,19,moon_north_arc_02,moon_circumference,moon_north,2,Visible circumference sample 2/6 for north Moon.,,,false,830.10347035992163,173.67400817092044,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,20,moon_north_arc_03,moon_circumference,moon_north,3,Visible circumference sample 3/6 for north Moon.,,,false,856.24339893544129,320.53287962247663,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,21,moon_north_arc_04,moon_circumference,moon_north,4,Visible circumference sample 4/6 for north Moon.,,,false,814.41951321460976,359.98040820007907,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,22,moon_north_arc_05,moon_circumference,moon_north,5,Visible circumference sample 5/6 for north Moon.,,,false,706.05762748336451,356.17823677091258,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,23,moon_north_arc_06,moon_circumference,moon_north,6,Visible circumference sample 6/6 for north Moon.,,,false,664.70901319117877,309.60163676362293,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,24,moon_north_east_arc_01,moon_circumference,moon_north_east,1,Visible circumference sample 1/6 for north east Moon.,,,false,893.78984179846054,246.3905367537298,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,25,moon_north_east_arc_02,moon_circumference,moon_north_east,2,Visible circumference sample 2/6 for north east Moon.,,,false,963.65474180939509,205.99246531883574,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,26,moon_north_east_arc_03,moon_circumference,moon_north_east,3,Visible circumference sample 3/6 for north east Moon.,,,false,1087.2253132573064,296.76930819018594,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,27,moon_north_east_arc_04,moon_circumference,moon_north_east,4,Visible circumference sample 4/6 for north east Moon.,,,false,1057.28321325262,391.82359391934858,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,28,moon_north_east_arc_05,moon_circumference,moon_north_east,5,Visible circumference sample 5/6 for north east Moon.,,,false,900.91891322814774,389.92250820476534,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,29,moon_north_east_arc_06,moon_circumference,moon_north_east,6,Visible circumference sample 6/6 for north east Moon.,,,false,881.90805608231528,360.45567962872491,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,30,moon_east_north_arc_01,moon_circumference,moon_east_north,1,Visible circumference sample 1/6 for east north Moon.,,,false,1110.9693713148315,510.65241468912382,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,31,moon_east_north_arc_02,moon_circumference,moon_east_north,2,Visible circumference sample 2/6 for east north Moon.,,,false,1209.1362240266467,445.20784621458029,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,32,moon_east_north_arc_03,moon_circumference,moon_east_north,3,Visible circumference sample 3/6 for east north Moon.,,,false,1312.5808645186676,590.87478894824176,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,33,moon_east_north_arc_04,moon_circumference,moon_east_north,4,Visible circumference sample 4/6 for east north Moon.,,,false,1270.3585622770265,643.65266675029306,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,34,moon_east_north_arc_05,moon_circumference,moon_east_north,5,Visible circumference sample 5/6 for east north Moon.,,,false,1161.6361340048006,651.04156964258016,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,35,moon_east_north_arc_06,moon_circumference,moon_east_north,6,Visible circumference sample 6/6 for east north Moon.,,,false,1133.1360799916929,630.98597607780073,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,36,moon_east_arc_01,moon_circumference,moon_east,1,Visible circumference sample 1/6 for east Moon.,,,false,1175.3583822333339,699.59721722046731,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,37,moon_east_arc_02,moon_circumference,moon_east,2,Visible circumference sample 2/6 for east Moon.,,,false,1322.0808825230365,685.874968991934,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,38,moon_east_arc_03,moon_circumference,moon_east,3,Visible circumference sample 3/6 for east Moon.,,,false,1327.3586703032415,863.20863840682625,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,39,moon_east_arc_04,moon_circumference,moon_east,4,Visible circumference sample 4/6 for east Moon.,,,false,1197.5250909101956,869.54198374307236,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,40,moon_east_arc_05,moon_circumference,moon_east,5,Visible circumference sample 5/6 for east Moon.,,,false,1158.4694613366778,824.15300883330838,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,41,moon_east_arc_06,moon_circumference,moon_east,6,Visible circumference sample 6/6 for east Moon.,,,false,1295.691943622011,881.15311685952361,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,42,moon_east_south_arc_01,moon_circumference,moon_east_south,1,Visible circumference sample 1/6 for east south Moon.,,,false,1132.080522435652,915.98651620887745,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,43,moon_east_south_arc_02,moon_circumference,moon_east_south,2,Visible circumference sample 2/6 for east south Moon.,,,false,1262.9696593847393,908.59761331659024,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,44,moon_east_south_arc_03,moon_circumference,moon_east_south,3,Visible circumference sample 3/6 for east south Moon.,,,false,1310.4697494065854,979.31996957133902,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,45,moon_east_south_arc_04,moon_circumference,moon_east_south,4,Visible circumference sample 4/6 for east south Moon.,,,false,1211.2473391387289,1107.042433852303,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,46,moon_east_south_arc_05,moon_circumference,moon_east_south,5,Visible circumference sample 5/6 for east south Moon.,,,false,1125.7471770994057,1072.2090345029492,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,47,moon_east_south_arc_06,moon_circumference,moon_east_south,6,Visible circumference sample 6/6 for east south Moon.,,,false,1094.0804504181751,1002.5422358042415,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,48,moon_south_east_arc_01,moon_circumference,moon_south_east,1,Visible circumference sample 1/6 for south east Moon.,,,false,1010.828853839118,1127.7526795274744,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,49,moon_south_east_arc_02,moon_circumference,moon_south_east,2,Visible circumference sample 2/6 for south east Moon.,,,false,1074.7773091107374,1201.7229076401682,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,50,moon_south_east_arc_03,moon_circumference,moon_south_east,3,Visible circumference sample 3/6 for south east Moon.,,,false,937.33585300457048,1333.4376364085783,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
pass-03,51,moon_south_east_arc_04,moon_circumference,moon_south_east,4,Visible circumference sample 4/6 for south east Moon.,,,false,1066.6644453822482,1274.2614539184231,data/working/figure12/city_of_revelation_page_065.png,4f9ab63b94ac4c1a2ce2fe5217c2cb0542a6df77e30eb1f272f5c6f2c3d650d6,1512,2327
