pass_id,endpoint_index,endpoint_id,candidate_step,candidate_notation,ray_0_target_id,ray_1_target_id,ray_0_angular_residual_degrees,ray_1_angular_residual_degrees,pair_rms_degrees,pair_maximum_degrees,endpoint_pass_winner
pass-02,3,star_endpoint_03_bottom_left,2,{7/2},star_endpoint_01_upper_left,star_endpoint_05_lower_right,1.056026231904,0.209405843999,0.761262835678,1.056026231904,true
pass-02,3,star_endpoint_03_bottom_left,3,{7/3},star_endpoint_00_top,star_endpoint_06_upper_right,24.573447973093,25.306708161017,24.942772733131,25.306708161017,false
pass-02,4,star_endpoint_04_bottom_right,1,perimeter,star_endpoint_05_lower_right,star_endpoint_03_bottom_left,25.749462660220,27.336982664130,26.555088481014,27.336982664130,false
pass-02,4,star_endpoint_04_bottom_right,2,{7/2},star_endpoint_06_upper_right,star_endpoint_02_lower_left,0.201681638712,1.541235035820,1.099108938875,1.541235035820,true
pass-02,4,star_endpoint_04_bottom_right,3,{7/3},star_endpoint_00_top,star_endpoint_01_upper_left,25.621897809922,24.396757536039,25.016828592513,25.621897809922,false
pass-02,5,star_endpoint_05_lower_right,1,perimeter,star_endpoint_06_upper_right,star_endpoint_04_bottom_right,27.045259956231,26.605833107715,26.826446293310,27.045259956231,false
pass-02,5,star_endpoint_05_lower_right,2,{7/2},star_endpoint_00_top,star_endpoint_03_bottom_left,1.123307278070,1.035930355347,1.080502416030,1.123307278070,true
pass-02,5,star_endpoint_05_lower_right,3,{7/3},star_endpoint_01_upper_left,star_endpoint_02_lower_left,24.530102984730,24.635451483699,24.582833667492,24.635451483699,false
pass-02,6,star_endpoint_06_upper_right,1,perimeter,star_endpoint_00_top,star_endpoint_05_lower_right,24.673724321115,26.491988134604,25.599004933770,26.491988134604,false
pass-02,6,star_endpoint_06_upper_right,2,{7/2},star_endpoint_01_upper_left,star_endpoint_04_bottom_right,0.854056788906,0.771520641479,0.813835701756,0.854056788906,true
pass-02,6,star_endpoint_06_upper_right,3,{7/3},star_endpoint_02_lower_left,star_endpoint_03_bottom_left,26.717485084696,24.830049127378,25.791038646388,26.717485084696,false
